index,time,latitude,longitude,depth,mag,place
604,2021-08-20T00:27:34.875Z,14.0695,92.8419,10.0,4.6,"262 km N of Bamboo Flat, India"
606,2021-08-17T15:32:24.925Z,24.6509,94.4519,63.33,4.9,"39 km E of W?ngjing, India"
608,2021-08-14T19:50:17.185Z,12.3093,95.038,10.0,4.7,"259 km ENE of Port Blair, India"
611,2021-08-10T08:12:46.310Z,30.2767,78.1005,10.0,3.6,"3 km SSE of R?ipur, India"
616,2021-08-09T13:06:44.772Z,29.7653,94.5571,10.0,4.2,"138 km N of Shi Yomi, India"
627,2021-08-04T22:10:02.477Z,25.0993,94.9275,99.59,4.4,"76 km SE of Phek, India"
646,2021-07-26T05:03:30.783Z,24.5824,94.4421,66.82,4.9,"38 km E of W?ngjing, India"
647,2021-07-25T15:09:21.630Z,27.3429,88.3092,10.0,4.5,"7 km NE of Gyalshing, India"
651,2021-07-21T04:01:45.956Z,34.0777,78.4395,10.0,4.3,"79 km E of Leh, India"
657,2021-07-12T20:14:51.023Z,13.6942,92.7449,24.67,4.6,"220 km N of Bamboo Flat, India"
658,2021-07-09T07:46:23.848Z,25.9749,90.3995,10.0,4.3,"11 km ESE of Lakhipur, India"
659,2021-07-09T00:26:26.477Z,25.0311,95.2274,102.19,4.6,"101 km SE of Phek, India"
661,2021-07-07T20:21:09.465Z,11.0785,93.4623,96.69,4.2,"101 km SE of Port Blair, India"
664,2021-07-07T03:15:24.246Z,25.9603,90.3499,10.0,5.3,"8 km SSE of Lakhipur, India"
667,2021-07-05T17:06:55.336Z,28.9016,76.839,10.0,3.9,"7 km WNW of Kharkhauda, India"
669,2021-07-04T16:57:10.269Z,26.608,96.5397,10.0,4.6,"52 km NNW of Sarupathar, India"
670,2021-06-29T19:24:35.052Z,34.6873,77.9908,10.0,3.7,"68 km NNE of Leh, India"
671,2021-06-28T00:40:35.259Z,34.2781,78.2208,10.0,4.8,"60 km ENE of Leh, India"
675,2021-06-22T16:44:36.534Z,28.0137,92.2097,65.76,4.6,"56 km NNE of Tawang, India"
679,2021-06-18T19:37:32.258Z,26.7357,92.4583,42.09,4.5,"4 km NNW of Dhekiajuli, India"
680,2021-06-18T11:42:45.117Z,12.9872,92.3504,10.0,4.6,"147 km NNW of Bamboo Flat, India"
681,2021-06-17T20:34:41.304Z,26.6776,92.3948,43.65,4.5,"8 km WSW of Dhekiajuli, India"
686,2021-06-15T14:46:08.092Z,26.6187,97.0854,36.12,4.8,"53 km NNE of Sarupathar, India"
689,2021-06-12T18:31:28.860Z,21.0204,85.0848,10.0,3.9,"17 km WNW of T?lcher, India"
697,2021-06-02T19:45:34.358Z,10.2844,91.567,10.0,4.6,"199 km SW of Port Blair, India"
698,2021-06-01T01:09:21.812Z,12.8061,93.3096,49.57,4.5,"138 km NNE of Bamboo Flat, India"
